1707880102235, 821535, 64, -16, 7760
1707880102239, 0, -32, 7872, 0
1707880102239, 0, 32, -64, 7680
1707880102242, 823394, 16, -80, 7776
1707880102242, 823405, 48, -32, 7792
1707880102245, 823416, 32, -64, 7792
1707880102256, 823427, 0, -16, 7808
1707880102267, 823438, 32, -48, 7824
1707880102280, 823449, -16, -48, 7808
1707880102291, 823460, 32, -32, 7808
1707880102302, 823471, 16, -64, 8016
1707880102313, 823482, 0, -64, 7808
1707880102324, 823493, 32, -32, 7760
1707880102335, 823504, 48, -48, 7776
1707880102346, 823515, 0, -96, 7776
1707880102359, 823526, -32, -48, 7808
1707880102366, 823537, 96, -64, 7776
1707880102379, 823548, 16, -48, 7712
1707880102389, 823559, 16, -48, 7792
1707880102399, 823570, 32, -32, 7680
1707880102412, 823581, 0, -32, 7744
1707880102423, 823592, 0, -80, 7792
1707880102434, 823603, 16, -32, 7792
1707880102444, 823614, 0, -80, 7776
1707880102454, 823625, -16, -48, 7760
1707880102467, 823636, -64, -48, 7808
1707880102478, 823647, -16, -64, 7728
1707880102489, 823658, 32, -64, 7872
1707880102500, 823669, 48, -64, 7808
1707880102511, 823680, 16, -64, 7760
1707880102522, 823691, 48, -16, 7584
1707880102533, 823702, -16, -64, 7792
1707880102544, 823713, 16, -48, 7744
1707880102553, 823724, -64, -32, 7808
1707880102566, 823735, 16, 0, 7824
1707880102577, 823746, 0, -16, 7760
1707880102586, 823757, -48, -32, 7680
1707880102599, 823768, 0, -32, 7776
1707880102610, 823779, -16, -64, 7776
1707880102621, 823790, -16, -32, 7808
1707880102630, 823801, 16, -48, 7792
1707880102643, 823812, 16, -32, 7776
1707880102654, 823823, -112, -48, 7728
1707880102665, 823834, 0, -32, 7744
1707880102676, 823845, -16, -48, 7792
1707880102687, 823856, -64, -48, 7760
1707880102698, 823867, 32, -16, 7776
1707880102709, 823878, -16, -48, 7904
1707880102718, 823889, -48, -48, 7760
1707880102731, 823900, 32, -48, 7824
1707880102740, 823911, -16, -144, 7744
1707880102751, 823922, 32, -96, 7824
1707880102764, 823933, 32, -96, 7744
1707880102775, 823944, -32, -112, 7760
1707880102784, 823955, -16, -32, 7808
1707880102797, 823966, -16, -32, 7824
1707880102808, 823977, 16, -16, 7712
1707880102818, 823988, 0, -32, 7760
1707880102828, 823999, 0, -64, 7776
1707880102841, 824010, -32, -64, 7728
1707880102850, 824021, 80, -48, 7776
1707880102863, 824032, 16, -16, 7888
1707880102874, 824043, -80, -16, 7792
1707880102883, 824054, 48, -80, 7760
1707880102896, 824065, 16, -16, 7568
1707880102907, 824076, -16, -32, 7728
1707880102916, 824087, 16, -80, 7792
1707880102929, 824098, 0, -80, 7648
1707880102940, 824109, -16, -64, 7776
1707880102949, 824120, 16, -48, 7776
1707880102961, 824131, 0, 0, 7568
1707880102971, 824142, 16, -32, 7760
1707880102984, 824153, 16, -16, 7760
1707880102995, 824164, 32, 0, 7664
1707880103004, 824175, 32, -64, 7728
1707880103015, 824186, 16, -16, 7776
1707880103028, 824197, 48, -16, 7712
1707880103039, 824208, 0, -80, 7840
1707880103048, 824219, -16, -80, 7728
1707880103061, 824230, -48, -64, 7792
1707880103072, 824241, 0, -32, 7728
1707880103083, 824252, 16, -16, 7680
1707880103093, 824263, 16, -16, 7744
1707880103103, 824274, 16, -32, 7856
1707880103116, 824285, 16, -16, 7808
1707880103127, 824296, -32, -16, 7696
1707880103138, 824307, 0, -32, 7728
1707880103149, 824318, 64, -48, 7968
1707880103160, 824329, 0, -16, 7760
1707880103171, 824340, 16, -16, 7792
1707880103180, 824351, -16, -16, 7632
1707880103193, 824362, 16, -64, 7792
1707880103204, 824373, 16, -16, 7744
1707880103215, 824384, 0, -96, 7824
1707880103226, 824395, 0, -48, 7760
1707880103237, 824406, 16, -64, 7776
1707880103246, 824417, 96, -16, 7760
1707880103259, 824428, 32, -64, 7744
1707880103269, 824439, 0, -64, 7760
1707880103279, 824450, 16, -80, 7840
1707880103292, 824461, 16, 0, 7808
1707880103303, 824472, 32, -16, 7696
1707880103314, 824483, 0, -32, 7760
1707880103323, 824494, 16, -48, 7776
1707880103336, 824505, -16, 0, 7744
1707880103347, 824516, -32, -64, 7808
1707880103358, 824527, 0, -64, 7728
1707880103367, 824538, -48, -64, 7872
1707880103380, 824549, -32, -48, 7792
1707880103391, 824560, 48, -48, 7744
1707880103402, 824571, -80, -48, 7776
1707880103413, 824582, -16, -48, 7824
1707880103424, 824593, 0, -32, 7760
1707880103433, 824604, -48, -32, 7712
1707880103446, 824615, 0, -48, 7760
1707880103457, 824626, 16, -64, 7744
1707880103468, 824637, 64, -48, 7824
1707880103479, 824648, 0, -64, 7792
1707880103490, 824659, 16, -32, 7520
1707880103499, 824670, 32, -48, 7728
1707880103512, 824681, 48, -16, 7760
1707880103523, 824692, 16, -16, 7856
1707880103534, 824703, 16, -48, 7824
1707880103545, 824714, 32, -32, 7808
1707880103556, 824725, 48, -48, 7808
1707880103567, 824736, 0, -16, 7696
1707880103577, 824747, 32, 0, 7696
1707880103587, 824758, 64, -64, 7776
1707880103599, 824769, 32, -48, 7792
