timestamp,magnitude,stepCount,totalStepCount
6887,9.64,0,0
9677,10.29,0,0
9751,10.74,0,0
9835,10.72,0,0
9923,11.39,0,0
9994,11.59,0,0
10066,10.40,0,0
10142,9.79,0,0
10243,9.46,0,0
10313,8.52,0,0
10420,8.11,0,0
10499,8.66,0,0
10567,8.71,0,0
10644,8.94,0,0
10742,8.95,0,0
10815,9.14,0,0
10873,9.36,0,0
10954,9.65,0,0
11024,10.11,0,0
11230,10.30,0,0
11299,10.28,0,0
11477,10.07,0,0
11567,9.98,0,0
11637,9.62,0,0
11698,9.69,0,0
11791,9.76,0,0
11879,9.72,0,0
11946,9.56,0,0
12015,9.68,0,0
12096,9.72,0,0
12183,9.72,0,0
12252,9.63,0,0
12313,9.75,0,0
12404,9.85,0,0
12492,9.76,0,0
12559,9.65,0,0
12662,9.44,0,0
12749,8.78,0,0
12818,9.58,0,0
12895,9.69,0,0
12966,9.98,0,0
13035,10.52,0,0
13127,11.13,0,0
13211,10.10,0,0
13308,10.11,0,0
13376,9.75,0,0
13448,9.39,0,0
13541,9.75,0,0
13627,10.12,0,0
13719,10.32,0,0
13787,10.45,0,0
13859,10.65,0,0
13936,9.81,0,0
14038,9.01,0,0
14131,8.60,0,0
14209,10.14,0,0
14279,11.09,0,0
14356,11.66,0,0
14443,11.88,0,0
14544,11.99,0,0
14638,10.48,0,0
14711,9.43,0,0
14781,9.29,0,0
14863,9.49,0,0
14953,9.46,0,0
15033,9.37,0,0
15143,9.41,0,0
15219,9.43,0,0
15313,9.47,1,1
15370,9.45,0,1
15459,9.40,0,1
15572,9.30,0,1
16712,9.47,0,1
16815,10.63,0,1
16911,10.88,0,1
17009,11.43,0,1
17097,11.75,0,1
17165,12.09,0,1
17238,11.45,0,1
17316,11.32,0,1
17416,10.26,0,1
17496,9.71,0,1
17565,9.19,0,1
17642,9.01,0,1
17774,9.60,0,1
17843,11.06,0,1
17930,12.19,0,1
18009,12.47,0,1
18076,13.01,0,1
18149,13.07,0,1
18231,12.61,0,1
18300,12.01,0,1
18368,11.64,0,1
18442,10.95,0,1
18521,10.20,0,1
18598,10.12,0,1
18665,10.03,0,1
18757,10.72,0,1
18837,11.19,0,1
18908,11.86,0,1
18978,12.52,0,1
19064,12.85,0,1
19149,12.89,0,1
19217,12.92,0,1
19286,13.01,0,1
19352,12.26,0,1
19411,11.48,0,1
19478,10.86,0,1
19562,10.29,1,2
19643,10.09,0,2
19712,10.35,0,2
19794,11.28,0,2
19883,11.57,0,2
19972,11.73,0,2
20070,11.77,0,2
20130,11.77,0,2
20198,11.79,0,2
20292,12.23,0,2
20388,12.40,0,2
20476,11.73,0,2
20576,11.29,0,2
20674,10.39,0,2
20745,10.22,0,2
20813,10.40,0,2
20898,11.47,0,2
20977,12.18,0,2
21044,12.75,0,2
21104,11.98,0,2
21193,12.33,1,3
21250,11.31,0,3
21331,10.66,0,3
21421,10.21,0,3
21516,10.50,0,3
21614,9.50,0,3
21702,9.47,0,3
21769,9.33,0,3
21836,9.46,0,3
21922,9.41,0,3
22001,9.48,0,3
22063,9.49,0,3
22138,9.43,0,3
22229,9.42,0,3
22308,9.54,0,3
22377,9.48,0,3
22464,9.22,0,3
22667,9.33,0,3
22752,9.25,0,3
22832,9.08,0,3
22902,9.28,0,3
22971,9.41,0,3
23044,9.62,0,3
23133,9.66,0,3
23204,9.61,0,3
23272,9.60,0,3
23364,9.60,0,3
23452,9.42,0,3
23589,9.45,0,3
23673,9.51,0,3
23763,9.39,0,3
23843,9.44,0,3
23913,9.42,0,3
24021,9.44,0,3
24099,9.44,0,3
24452,9.48,0,3
24511,9.58,0,3
24600,9.44,0,3
24684,9.46,0,3
24753,9.79,0,3
24821,9.68,0,3
24891,9.56,0,3
