timestamp,magnitude,stepCount,totalStepCount
3196,1.89,0,0
3593,3.78,0,0
3747,5.64,0,0
3919,7.38,0,0
4048,9.41,0,0
7108,9.88,0,0
7215,10.48,0,0
7265,11.01,0,0
7337,11.59,0,0
7406,11.64,0,0
7490,11.08,0,0
7523,10.32,0,0
7565,9.54,0,0
7625,9.43,0,0
10554,9.22,0,0
10625,9.40,0,0
10663,10.04,0,0
10707,10.97,0,0
10746,11.37,0,0
10801,11.50,0,0
10846,11.22,0,0
10916,10.82,0,0
10955,10.39,0,0
11018,9.63,0,0
11061,9.45,0,0
11108,9.70,0,0
11180,9.61,0,0
11211,9.42,0,0
11291,9.18,0,0
11319,8.99,0,0
11373,8.91,0,0
11443,9.19,0,0
11495,9.38,0,0
11534,10.03,0,0
11579,10.49,0,0
11631,10.67,0,0
11715,10.41,0,0
11758,10.08,0,0
11810,9.73,0,0
11838,9.71,2,2
11887,9.55,0,2
11944,9.44,0,2
11986,9.45,0,2
12039,9.40,0,2
12078,9.31,0,2
12124,9.38,0,2
12159,9.51,0,2
12338,9.60,0,2
12376,9.61,0,2
12445,9.57,0,2
12539,9.49,0,2
12583,9.50,0,2
12666,9.52,0,2
12749,9.52,0,2
13340,9.38,0,2
13409,9.35,0,2
13560,9.41,0,2
13590,9.50,0,2
13761,9.82,0,2
13823,10.25,0,2
13971,10.59,0,2
14023,10.74,0,2
14100,11.33,0,2
14178,11.02,0,2
14268,10.41,0,2
14308,9.72,0,2
14403,9.32,0,2
14446,8.81,0,2
14502,9.23,0,2
14564,10.33,0,2
14656,12.03,0,2
14744,12.64,0,2
14808,12.66,0,2
14846,12.65,0,2
14915,12.38,0,2
14974,11.69,0,2
15012,11.79,0,2
15051,12.08,0,2
15101,11.94,0,2
15289,11.69,3,5
15328,10.65,0,5
15399,10.04,0,5
15477,9.72,0,5
15717,9.94,0,5
15798,10.59,0,5
15837,11.79,0,5
15885,12.29,0,5
15930,12.40,0,5
15979,12.44,0,5
16038,12.15,0,5
16088,11.99,0,5
16129,12.38,0,5
16190,12.75,0,5
16240,12.56,0,5
16322,11.70,0,5
16352,11.28,0,5
16405,10.34,0,5
16448,9.30,0,5
16513,9.07,0,5
16601,9.71,2,7
16649,10.04,0,7
16697,10.75,0,7
16760,11.67,0,7
16828,11.93,0,7
16915,12.37,0,7
16947,12.66,0,7
17001,12.53,0,7
17055,12.51,0,7
17094,12.78,0,7
17163,12.59,0,7
17201,12.51,0,7
17252,12.57,0,7
17290,12.62,0,7
17338,12.24,0,7
17380,11.60,0,7
17457,10.73,0,7
17509,10.07,0,7
17569,9.07,0,7
17617,9.01,0,7
17660,9.48,3,10
17739,10.00,0,10
17776,10.66,0,10
17826,11.72,0,10
17880,12.08,0,10
17930,11.96,0,10
18001,11.91,0,10
18054,12.13,0,10
18082,12.34,0,10
18132,12.27,0,10
18182,12.60,0,10
18264,13.05,0,10
18312,13.04,0,10
18354,12.46,0,10
18382,12.02,0,10
18432,11.05,0,10
18492,10.18,0,10
18583,9.63,0,10
18620,9.58,0,10
18676,9.99,0,10
18706,11.10,0,10
18778,10.55,0,10
18863,10.20,0,10
18903,10.09,0,10
18983,9.81,0,10
19013,9.10,0,10
19060,9.18,0,10
19136,9.23,0,10
19186,9.53,0,10
19226,9.65,0,10
19290,9.35,0,10
19344,9.74,0,10
19416,10.05,0,10
19481,9.53,0,10
19519,9.22,0,10
19570,8.85,0,10
19621,8.97,0,10
19700,8.78,0,10
19756,8.91,0,10
19828,8.98,0,10
19865,9.53,3,13
19922,9.60,0,13
20003,9.61,0,13
20043,9.69,0,13
20089,9.61,0,13
20131,9.58,0,13
20168,9.54,0,13
20221,9.54,0,13
