timestamp,magnitude,stepCount,totalStepCount
22561,9.55,0,0
22647,9.60,0,0
22735,9.64,0,0
22807,9.67,0,0
22865,9.70,0,0
22953,9.70,0,0
23032,9.77,0,0
23109,9.75,0,0
23211,9.66,0,0
23268,9.67,0,0
23355,9.82,0,0
23387,9.79,0,0
23428,9.79,0,0
23483,9.87,0,0
23527,9.67,0,0
23597,9.74,0,0
23686,9.76,0,0
23762,10.24,0,0
23831,10.44,0,0
23892,10.60,0,0
23970,10.47,0,0
24039,10.81,0,0
24107,10.11,0,0
24191,9.93,0,0
24269,10.12,0,0
24337,10.12,0,0
24409,9.88,0,0
24497,10.42,0,0
24597,10.46,0,0
24683,10.56,0,0
24762,10.03,0,0
24841,9.95,0,0
24926,8.58,0,0
25001,8.59,0,0
25104,8.22,0,0
25161,8.74,0,0
25220,8.60,0,0
25288,9.50,0,0
25365,9.23,0,0
25422,9.27,0,0
25509,9.27,0,0
25597,9.40,0,0
25667,9.81,0,0
25726,10.18,0,0
25817,9.69,0,0
25885,9.38,0,0
25953,9.49,0,0
26029,9.07,0,0
26138,8.72,0,0
26230,9.28,0,0
26340,9.52,0,0
26440,9.72,0,0
26522,10.08,0,0
26592,10.14,0,0
26667,10.10,0,0
26751,10.19,0,0
26831,9.80,0,0
26893,9.88,0,0
26954,10.15,0,0
26997,10.15,0,0
27039,9.89,0,0
3195,1.93,0,0
6115,3.78,0,0
6352,5.65,0,0
6707,7.58,0,0
6790,9.47,0,0
6952,9.41,0,0
7128,9.47,0,0
7198,9.49,0,0
7340,9.45,0,0
7519,9.49,0,0
7592,9.53,0,0
7696,9.51,0,0
7765,9.50,0,0
7842,9.53,0,0
7952,9.49,0,0
8026,9.46,0,0
8102,9.46,0,0
8171,9.50,0,0
8259,9.46,0,0
8388,9.51,0,0
8549,9.49,0,0
8619,9.51,0,0
8687,9.49,0,0
8763,9.48,0,0
8835,9.45,0,0
8894,9.48,0,0
8980,9.45,0,0
9075,9.43,0,0
9208,9.51,0,0
9285,9.48,0,0
9423,9.51,0,0
9503,9.51,0,0
9581,9.55,0,0
9652,9.47,0,0
9721,9.50,0,0
9802,9.45,0,0
9879,9.49,0,0
9947,9.45,0,0
10025,9.47,0,0
10103,9.45,0,0
10190,9.47,0,0
10266,9.45,0,0
10336,9.47,0,0
10411,9.47,0,0
10481,9.49,0,0
10548,9.48,0,0
10627,9.47,0,0
10715,9.46,0,0
10800,9.47,0,0
10867,9.51,0,0
10946,9.47,0,0
11039,9.47,0,0
11134,9.49,0,0
11214,9.47,0,0
11281,9.43,0,0
11369,9.45,0,0
11440,9.48,0,0
11516,9.46,0,0
11586,9.51,0,0
11656,9.52,0,0
11750,9.57,0,0
11840,9.55,0,0
11911,9.58,0,0
11978,9.55,0,0
12062,9.40,0,0
12140,9.33,0,0
12213,9.33,0,0
12270,9.34,0,0
12357,9.40,0,0
12456,9.62,0,0
12545,9.99,0,0
12616,10.40,0,0
12691,10.64,0,0
12776,10.74,0,0
12864,10.71,0,0
12931,10.64,0,0
13000,10.24,0,0
13086,9.94,0,0
13172,9.53,0,0
13255,9.56,0,0
13334,9.73,0,0
13392,10.15,0,0
13479,10.96,0,0
13593,11.45,0,0
13660,11.79,0,0
13728,11.70,0,0
13797,11.61,0,0
13866,10.97,0,0
13946,10.73,0,0
14008,10.32,0,0
14095,9.79,0,0
14153,9.59,0,0
14212,9.81,0,0
14295,9.96,0,0
14363,10.24,0,0
14421,10.66,0,0
14508,10.92,0,0
14602,11.37,0,0
14669,11.59,0,0
14737,11.94,0,0
14810,12.06,0,0
14879,12.01,0,0
14950,11.33,0,0
15040,10.98,0,0
15122,10.65,0,0
15225,10.29,0,0
15283,10.17,0,0
15353,10.12,0,0
15431,10.38,0,0
15502,10.34,1,1
15560,10.76,0,1
15638,11.40,0,1
15730,11.83,0,1
15813,12.11,0,1
15884,12.50,0,1
15954,12.55,0,1
16043,11.71,0,1
16122,10.95,0,1
16200,10.70,0,1
16270,9.87,0,1
16360,9.80,0,1
16447,9.94,0,1
16517,10.44,0,1
16584,10.39,0,1
16660,10.93,0,1
16741,11.55,0,1
16804,11.74,0,1
16864,11.86,0,1
16946,12.07,0,1
17015,12.11,0,1
17087,11.41,0,1
17162,11.21,0,1
17225,10.85,0,1
17282,10.61,0,1
17359,10.15,0,1
17434,9.88,0,1
17504,9.72,0,1
17592,9.85,0,1
17670,10.24,0,1
17742,10.89,0,1
17834,11.36,0,1
17900,11.65,0,1
17992,11.69,0,1
18064,11.28,0,1
18136,10.80,0,1
18210,10.21,0,1
18291,10.10,0,1
18355,10.03,0,1
18412,9.49,0,1
18490,9.43,0,1
18565,8.99,0,1
18632,9.23,0,1
18714,9.30,0,1
18792,10.06,0,1
18901,9.81,0,1
18971,10.52,0,1
19040,10.07,0,1
19131,9.94,0,1
19210,9.76,0,1
19280,10.16,0,1
19338,9.66,0,1
22246,10.41,0,1
22315,10.78,0,1
22405,10.81,0,1
22503,10.52,0,1
22659,10.64,0,1
22727,10.14,0,1
22810,10.06,0,1
22909,10.01,0,1
