timestamp,magnitude,stepCount,totalStepCount
34437,0.72,0,0
37495,0.68,0,0
37553,0.66,0,0
37641,0.68,0,0
37729,0.66,0,0
37824,0.53,0,0
37897,0.47,0,0
37966,0.39,0,0
38044,0.49,0,0
38133,0.59,0,0
38205,0.67,0,0
38272,0.70,0,0
38344,0.66,0,0
38444,0.53,0,0
38531,0.46,0,0
38608,0.49,0,0
38667,0.49,0,0
38750,0.63,0,0
38827,0.62,0,0
38905,0.62,0,0
38965,0.58,0,0
39036,0.61,0,0
39111,0.61,0,0
39175,0.64,0,0
39262,0.68,0,0
39335,0.74,0,0
39402,0.68,0,0
39487,0.55,0,0
39584,0.57,0,0
39673,0.52,0,0
39762,0.53,0,0
39839,0.60,0,0
39906,0.71,0,0
39999,0.71,0,0
40077,0.72,0,0
40146,0.70,0,0
40205,0.73,0,0
40292,0.75,0,0
40364,0.75,0,0
40435,0.69,0,0
40512,0.67,0,0
40599,0.61,0,0
40683,0.62,0,0
40760,0.61,0,0
40828,0.64,0,0
40911,0.65,0,0
41004,0.66,0,0
41074,0.63,0,0
41163,0.66,0,0
41232,0.69,0,0
41310,0.64,0,0
41372,0.66,0,0
41448,0.63,0,0
41626,0.61,0,0
41726,0.51,0,0
41809,0.48,0,0
41886,0.50,0,0
41944,0.57,0,0
42023,0.57,0,0
42099,0.72,0,0
42155,0.85,0,0
42244,0.84,0,0
42334,0.74,0,0
42432,0.73,0,0
42508,0.61,0,0
42565,0.54,0,0
42647,0.48,0,0
42715,0.56,0,0
42796,0.62,0,0
42926,0.68,0,0
42993,0.72,0,0
43067,0.76,0,0
43155,0.73,0,0
43222,0.71,0,0
43290,0.75,0,0
43375,0.77,0,0
43452,0.77,0,0
43526,0.75,0,0
43583,0.67,0,0
43675,0.62,0,0
43745,0.59,0,0
43822,0.55,0,0
43883,0.64,0,0
43980,0.67,0,0
44088,0.64,0,0
44175,0.70,0,0
44244,0.74,0,0
44313,0.62,0,0
44397,0.57,0,0
44476,0.54,0,0
44552,0.58,0,0
44688,0.56,0,0
44770,0.57,0,0
44838,0.61,0,0
44908,0.71,0,0
44987,0.60,0,0
45064,0.59,0,0
45414,0.65,0,0
45474,0.57,0,0
45533,0.52,0,0
45632,0.55,0,0
45722,0.58,0,0
45803,0.55,0,0
45871,0.53,0,0
45930,0.47,0,0
46145,0.45,0,0
46245,0.44,0,0
46332,0.52,0,0
46399,0.65,0,0
46467,0.74,0,0
46554,0.69,0,0
46632,0.70,0,0
46723,0.74,0,0
50174,0.70,0,0
50269,0.73,0,0
50766,0.71,0,0
50938,0.73,0,0
51023,0.64,0,0
51547,0.60,0,0
51626,0.59,0,0
51704,0.66,0,0
51977,0.57,0,0
54821,0.55,0,0
54895,0.56,0,0
54955,0.51,0,0
55032,0.51,0,0
55093,0.52,0,0
55151,0.58,0,0
55239,0.69,0,0
55309,0.71,0,0
55376,0.76,0,0
55446,0.74,0,0
55505,0.78,0,0
55575,0.66,0,0
55663,0.70,0,0
55750,0.62,0,0
55822,0.66,0,0
55892,0.57,0,0
55971,0.62,0,0
56049,0.57,0,0
56121,0.58,0,0
56206,0.63,0,0
56266,0.67,0,0
56356,0.70,0,0
56423,0.77,0,0
56507,0.78,0,0
56583,0.77,0,0
56671,0.71,0,0
56775,0.74,0,0
56848,0.66,0,0
56935,0.67,0,0
56993,0.65,0,0
57080,0.69,0,0
57171,0.62,0,0
57239,0.62,0,0
57311,0.58,0,0
57393,0.58,0,0
57475,0.64,0,0
57553,0.65,0,0
57610,0.64,0,0
57698,0.71,0,0
57783,0.71,0,0
57856,0.59,0,0
57925,0.65,0,0
58012,0.67,0,0
58069,0.70,0,0
58129,0.70,0,0
58231,0.77,0,0
58322,0.75,0,0
58399,0.73,0,0
58477,0.61,0,0
58617,0.63,0,0
58676,0.64,0,0
58830,0.63,0,0
58931,0.68,0,0
59030,0.80,0,0
59185,0.79,0,0
59256,0.77,0,0
59337,0.71,0,0
59411,0.70,0,0
