timestamp,magnitude,stepCount,totalStepCount
3197,1.97,0,0
6128,3.91,0,0
6207,5.75,0,0
6277,7.61,0,0
6344,9.42,0,0
6434,9.42,0,0
6502,9.43,0,0
6570,9.42,0,0
6638,9.41,0,0
6716,9.53,0,0
6787,9.59,0,0
6857,9.51,0,0
6938,9.61,0,0
7008,9.66,0,0
7076,9.66,0,0
7160,9.53,0,0
7247,9.75,0,0
7305,9.67,0,0
7361,9.50,0,0
7440,9.39,0,0
7502,9.55,0,0
7561,9.41,0,0
7630,9.34,0,0
7696,9.52,0,0
7858,9.59,0,0
7915,9.39,0,0
8100,9.33,0,0
8183,9.48,0,0
8263,9.45,0,0
8322,9.48,0,0
8380,9.51,0,0
8447,9.52,0,0
8504,9.49,0,0
8592,9.68,0,0
8681,9.59,0,0
8760,9.68,0,0
8827,9.92,0,0
8903,10.64,0,0
8981,11.44,0,0
9051,12.14,0,0
9109,12.35,0,0
9187,12.03,0,0
9247,10.90,0,0
9305,9.49,0,0
9383,8.56,0,0
9452,8.73,0,0
9509,8.79,0,0
9596,9.66,0,0
9665,10.15,0,0
9726,10.52,0,0
9814,10.26,0,0
9891,10.73,0,0
9988,11.35,0,0
10057,11.78,0,0
10128,12.00,0,0
10205,12.25,0,0
10267,12.35,0,0
10334,11.58,0,0
10423,11.21,0,0
10516,10.83,0,0
10576,10.34,0,0
10643,9.65,0,0
10727,9.64,0,0
10798,9.74,0,0
10865,10.28,0,0
10934,10.72,0,0
11022,11.24,0,0
11087,11.92,0,0
11150,12.21,0,0
11240,12.39,0,0
11310,12.65,0,0
11378,12.80,0,0
11451,12.06,0,0
11539,11.50,0,0
11602,10.65,1,1
11661,10.19,0,1
11738,9.46,0,1
11808,9.60,0,1
11865,9.81,0,1
11952,10.33,0,1
12033,10.42,0,1
12102,11.27,0,1
12162,11.99,0,1
12243,12.18,0,1
12323,12.26,0,1
12398,12.42,0,1
12475,12.36,0,1
12542,11.61,0,1
12610,11.57,0,1
12684,11.14,1,2
12762,10.72,0,2
12822,9.97,0,2
12894,9.91,0,2
12973,9.43,0,2
13270,9.92,0,2
13375,10.46,0,2
13449,10.90,0,2
13512,11.22,0,2
13600,12.02,0,2
13680,12.03,0,2
13752,11.50,0,2
13822,11.17,0,2
13898,10.03,0,2
13969,9.22,0,2
14036,8.79,1,3
14107,8.62,0,3
14215,9.17,0,3
14293,10.13,0,3
14364,10.62,0,3
14432,10.78,0,3
14517,10.82,0,3
14574,10.45,0,3
14631,10.06,0,3
14718,9.69,0,3
14778,9.52,0,3
14846,9.55,0,3
14928,9.48,0,3
14996,9.49,0,3
15065,9.56,0,3
15136,9.52,0,3
15220,9.58,0,3
15282,9.63,0,3
15355,9.59,0,3
15444,9.60,0,3
15522,9.64,0,3
15591,9.66,0,3
15663,9.57,0,3
15761,9.48,0,3
15850,9.44,0,3
15929,9.49,0,3
16006,9.46,0,3
16074,9.43,0,3
16150,9.48,0,3
16209,9.52,0,3
16266,9.49,0,3
16354,9.49,0,3
16430,9.53,0,3
16487,9.58,0,3
16582,9.43,0,3
16667,9.44,0,3
16761,9.54,0,3
16870,9.73,0,3
16977,9.73,0,3
17071,10.03,0,3
17139,9.89,0,3
17196,9.49,0,3
17275,9.34,0,3
17380,9.40,0,3
20247,9.57,0,3
20310,10.41,0,3
20386,11.23,0,3
20457,11.51,0,3
20524,11.83,0,3
20592,11.71,0,3
20672,11.02,0,3
20749,10.39,0,3
20818,9.45,0,3
20875,8.95,0,3
20963,8.85,0,3
21024,8.91,0,3
21087,9.46,0,3
21164,10.65,0,3
21225,11.32,0,3
21293,12.09,0,3
21464,12.57,1,4
21523,12.90,0,4
21581,13.04,0,4
21676,13.04,0,4
21747,12.33,0,4
21806,11.57,0,4
21892,10.52,0,4
21987,9.79,0,4
22078,9.43,0,4
22149,9.89,0,4
22248,10.89,0,4
22306,11.92,0,4
22405,12.54,0,4
22513,12.74,0,4
22592,12.79,0,4
22662,12.66,2,6
22720,12.68,0,6
22808,12.51,0,6
22918,12.37,0,6
23015,11.30,0,6
23095,10.78,0,6
23165,9.90,0,6
23236,9.81,0,6
23318,10.09,0,6
23375,11.40,0,6
23443,12.21,0,6
23529,13.09,0,6
23597,13.02,0,6
23655,12.92,0,6
23760,12.71,0,6
23831,12.44,1,7
23888,12.26,0,7
23956,12.37,0,7
24037,11.99,0,7
24130,10.96,0,7
24231,10.13,0,7
24334,9.65,0,7
24447,9.88,0,7
24538,10.49,0,7
24610,11.71,0,7
24668,12.27,0,7
24745,12.48,0,7
24814,12.58,0,7
24871,12.74,0,7
25018,12.07,0,7
25086,11.57,2,9
25171,11.40,0,9
25250,10.79,0,9
25321,9.55,0,9
25387,9.89,0,9
25477,9.60,0,9
25557,9.46,0,9
25625,9.34,0,9
26802,9.87,0,9
26860,9.33,0,9
26917,9.76,0,9
26996,9.75,0,9
27073,9.73,0,9
27143,9.56,0,9
27216,9.42,0,9
27305,9.30,3,12
27377,9.24,0,12
27446,9.31,0,12
27530,9.39,0,12
27608,9.49,0,12
27679,9.59,0,12
27746,9.56,0,12
27829,9.59,0,12
27908,9.53,0,12
27975,9.52,0,12
28048,9.51,0,12
28137,9.65,0,12
28227,9.62,0,12
28300,9.65,0,12
28357,9.78,0,12
28439,9.79,0,12
28512,9.70,0,12
28579,9.63,0,12
28655,9.47,0,12
