timestamp,magnitude,stepCount,totalStepCount
3197,1.95,0,0
6772,4.44,0,0
6847,6.45,0,0
6887,8.51,0,0
6937,10.40,0,0
6976,10.68,0,0
7052,10.17,0,0
7133,10.29,0,0
7172,10.04,0,0
7214,10.23,0,0
7260,9.95,0,0
7299,9.90,0,0
7381,9.82,0,0
7473,9.78,0,0
7523,9.34,0,0
7583,9.05,0,0
7633,8.59,0,0
7704,8.55,0,0
7775,9.19,0,0
7816,9.71,0,0
7899,10.12,0,0
7972,10.65,0,0
8035,10.54,0,0
8133,9.93,0,0
8197,9.54,0,0
8282,9.43,0,0
8323,9.27,0,0
8374,9.33,0,0
8423,9.51,0,0
8475,9.55,1,1
8572,9.43,0,1
8611,9.63,0,1
8676,9.53,0,1
8707,9.30,0,1
8810,9.28,0,1
8901,9.36,0,1
8942,9.14,0,1
9016,9.20,0,1
9066,9.35,0,1
9123,9.43,0,1
9191,9.46,0,1
9224,9.70,0,1
9271,9.66,0,1
9323,9.65,0,1
9418,9.58,0,1
9469,9.42,0,1
9521,9.34,0,1
9563,9.52,0,1
9617,9.61,0,1
9715,9.84,0,1
9757,10.06,0,1
9828,10.01,0,1
9866,9.96,0,1
9921,10.15,0,1
10013,10.53,0,1
10040,10.75,0,1
10124,10.75,0,1
10165,10.65,0,1
10247,10.20,0,1
10331,9.57,1,2
10385,9.29,0,2
10449,9.20,0,2
10513,8.82,0,2
10594,9.15,0,2
10650,9.32,0,2
10694,9.26,0,2
10744,9.23,0,2
10796,9.71,0,2
10865,9.67,0,2
10953,10.15,0,2
11001,11.17,0,2
11057,11.78,0,2
11146,11.97,0,2
11175,12.22,0,2
11220,12.05,0,2
11267,11.42,0,2
11319,11.24,0,2
11386,11.15,0,2
11449,10.83,0,2
11477,10.43,1,3
11538,9.93,0,3
11568,9.80,0,3
11608,9.68,0,3
11682,9.25,0,3
11771,9.28,0,3
11820,9.57,0,3
11877,9.78,0,3
11956,10.04,0,3
11999,10.60,0,3
12042,10.79,0,3
12100,10.89,0,3
12165,11.41,0,3
12243,11.49,0,3
12292,12.06,0,3
12376,12.61,0,3
12416,12.79,0,3
13507,12.44,0,3
13585,12.33,0,3
13626,11.79,0,3
13673,11.12,1,4
13710,10.87,0,4
13753,10.18,0,4
16769,9.88,0,4
16868,9.65,0,4
16906,9.67,0,4
16963,9.42,0,4
17010,9.52,0,4
17057,9.52,0,4
17136,9.59,0,4
17189,9.55,3,7
17239,9.66,0,7
17290,9.67,0,7
17408,9.66,0,7
17497,9.66,0,7
17539,9.68,0,7
17590,9.78,0,7
17631,9.64,0,7
17705,9.71,0,7
17797,9.77,0,7
17988,9.82,0,7
18240,9.65,0,7
18368,9.82,0,7
19034,9.84,0,7
19216,9.78,0,7
19292,9.75,0,7
19436,10.16,0,7
19717,9.98,0,7
20451,8.76,0,7
20520,8.75,0,7
20572,8.84,0,7
20615,8.12,0,7
20702,8.68,0,7
20814,10.04,0,7
20909,10.09,0,7
20960,10.26,0,7
21038,10.63,0,7
21188,10.26,0,7
21237,10.35,0,7
21326,10.76,0,7
21380,10.81,0,7
21420,11.04,0,7
21485,11.15,0,7
21549,10.78,0,7
21647,10.25,0,7
21694,10.02,0,7
21751,9.87,0,7
21801,9.35,0,7
21899,9.35,0,7
21948,9.51,0,7
22004,9.53,1,8
22056,9.73,0,8
22124,10.36,0,8
22167,10.52,0,8
22228,10.57,0,8
22269,10.94,0,8
22316,11.65,0,8
22396,11.77,0,8
22436,11.84,0,8
22499,12.27,0,8
22541,12.27,0,8
22604,11.51,0,8
22676,11.13,0,8
22731,10.87,0,8
22771,10.06,0,8
22827,9.35,0,8
22867,9.38,0,8
22935,9.13,0,8
22976,8.96,0,8
23031,9.45,0,8
23211,9.84,1,9
23281,9.78,0,9
23374,10.39,0,9
23436,11.55,0,9
23508,11.75,0,9
23596,12.24,0,9
23672,12.56,0,9
23847,12.02,0,9
23959,10.80,0,9
24048,10.08,0,9
24108,9.39,0,9
24188,9.10,0,9
24259,9.42,0,9
24323,10.04,0,9
24369,10.59,0,9
24463,11.06,0,9
24506,11.32,0,9
25802,11.59,0,9
25893,11.97,0,9
25943,12.22,0,9
25995,12.18,0,9
26052,11.55,0,9
26106,10.80,0,9
26195,10.80,0,9
26226,11.11,0,9
26270,10.55,0,9
26306,10.31,0,9
26360,9.93,0,9
26499,9.14,0,9
26540,8.65,0,9
26612,9.25,1,10
26691,9.43,0,10
26740,9.89,0,10
26823,10.22,0,10
26878,9.65,0,10
26991,9.43,0,10
27071,9.37,0,10
27141,9.81,0,10
27235,9.62,0,10
27286,9.77,0,10
27343,9.62,0,10
27429,9.65,0,10
27526,9.19,0,10
27578,9.22,0,10
27636,9.34,0,10
27692,9.34,0,10
27759,9.49,0,10
27827,9.86,0,10
27866,9.75,0,10
27921,9.68,0,10
27960,9.62,0,10
28048,9.67,0,10
28097,9.56,0,10
28154,9.63,0,10
28204,9.68,0,10
28263,9.69,0,10
28343,9.72,0,10
28400,9.72,0,10
28456,9.59,0,10
28511,9.64,0,10
28578,9.64,0,10
28688,9.53,0,10
29888,9.56,0,10
29989,9.64,0,10
30039,9.50,0,10
30094,9.52,0,10
30236,9.70,0,10
30370,9.63,0,10
30447,9.63,0,10
30547,9.69,0,10
30706,9.62,0,10
30855,9.58,0,10
30946,9.68,0,10
31053,9.76,0,10
31195,9.81,0,10
31326,9.85,0,10
31438,9.77,0,10
31489,9.62,0,10
31555,9.64,0,10
31632,9.44,0,10
31673,9.31,0,10
31759,9.36,0,10
31842,9.77,0,10
31893,9.93,0,10
31947,10.05,0,10
31986,10.24,0,10
32048,10.25,0,10
32141,10.01,0,10
32196,9.83,0,10
32259,9.86,0,10
32305,9.74,0,10
32379,9.57,0,10
